portfolio,horizon_yr,metric,p05,p25,p50,p75,p95,mean
Core (S08+S46+S30) | Cluster-parity,25,cagr,0.03901654059436786,0.06191038312161623,0.07749138605334749,0.09341835981765512,0.11559795351164608,0.07748499373556916
Core (S08+S46+S30) | Cluster-parity,25,vol,0.10957499162843323,0.11627219507787519,0.12148964383498453,0.12708484205503962,0.13593534647862202,0.12194589267433412
Core (S08+S46+S30) | Cluster-parity,25,sharpe,0.36342975436546143,0.5460207004424832,0.675793863230101,0.8109163161288669,1.0091970005901645,0.6793556947616125
Core (S08+S46+S30) | Cluster-parity,25,mdd,-0.4426964690791144,-0.3454277359047061,-0.290592725252278,-0.25018730363627817,-0.2032787994651912,-0.3035444284741428
Core (S08+S46+S30) | Cluster-parity,25,underperf,0.0,0.0,0.0,1.0,1.0,0.4226
Core (S08+S46+S30) | Cluster-parity,25,dd_30,0.0,0.0,0.0,1.0,1.0,0.4461
Core (S08+S46+S30) | Cluster-parity,25,dd_40,0.0,0.0,0.0,0.0,1.0,0.1092
Core (S08+S46+S30) | Cluster-parity,25,dd_50,0.0,0.0,0.0,0.0,0.0,0.0167
Core (S08+S46+S30) | Cluster-parity,5,cagr,-0.009438264794983092,0.044336009968019674,0.07915967911253707,0.11382001274329145,0.16216060219520523,0.07812248778651495
Core (S08+S46+S30) | Cluster-parity,5,vol,0.09870846002822188,0.10859904465337863,0.11747927276535682,0.13170040658291643,0.1528243760968415,0.12105403247475428
Core (S08+S46+S30) | Cluster-parity,5,sharpe,-0.00044397222278499233,0.410791578847466,0.698017410176774,1.0071716817099774,1.448866952458636,0.7103534529853969
Core (S08+S46+S30) | Cluster-parity,5,mdd,-0.3347833190178903,-0.24393669034808685,-0.18638297991481,-0.13491738963163363,-0.09363994081816436,-0.19553380152423327
Core (S08+S46+S30) | Cluster-parity,5,underperf,0.0,0.0,0.0,1.0,1.0,0.474
Core (S08+S46+S30) | Cluster-parity,5,dd_30,0.0,0.0,0.0,0.0,1.0,0.0908
Core (S08+S46+S30) | Cluster-parity,5,dd_40,0.0,0.0,0.0,0.0,0.0,0.0145
Core (S08+S46+S30) | Cluster-parity,5,dd_50,0.0,0.0,0.0,0.0,0.0,0.0016
