portfolio,horizon_yr,metric,p05,p25,p50,p75,p95,mean
Core (S08+S46+S30) | Equal-weight,25,cagr,0.042404350721405006,0.06592977146934925,0.08263343958825797,0.09870483005221703,0.12254066825833744,0.08247933419974302
Core (S08+S46+S30) | Equal-weight,25,vol,0.1155220109543365,0.1224626580342912,0.12856028031304106,0.13501897954249054,0.14531528060939075,0.1291855764909029
Core (S08+S46+S30) | Equal-weight,25,sharpe,0.371938773876854,0.5489691935233078,0.6820215718438227,0.8140910923642055,1.016529874342842,0.6852284314567305
Core (S08+S46+S30) | Equal-weight,25,mdd,-0.4465863120764488,-0.3526536712514236,-0.2981069468743742,-0.25971303661842504,-0.2044963329650576,-0.3101677883254107
Core (S08+S46+S30) | Equal-weight,25,underperf,0.0,0.0,0.0,1.0,1.0,0.3135
Core (S08+S46+S30) | Equal-weight,25,dd_30,0.0,0.0,0.0,1.0,1.0,0.4867
Core (S08+S46+S30) | Equal-weight,25,dd_40,0.0,0.0,0.0,0.0,1.0,0.1207
Core (S08+S46+S30) | Equal-weight,25,dd_50,0.0,0.0,0.0,0.0,0.0,0.016
Core (S08+S46+S30) | Equal-weight,5,cagr,-0.005861498888305211,0.04744106461908365,0.08465022502845843,0.12026888259426322,0.1694607229538358,0.08318460123579413
Core (S08+S46+S30) | Equal-weight,5,vol,0.10449467589261673,0.11382310893343439,0.12256535461424514,0.13919171724789428,0.16372743269433235,0.12778628645871523
Core (S08+S46+S30) | Equal-weight,5,sharpe,0.032882358572266554,0.41421973426597936,0.7094085368509371,1.010110058650622,1.4340740337839137,0.7179999884965825
Core (S08+S46+S30) | Equal-weight,5,mdd,-0.34046643472525506,-0.2541279786890528,-0.18496032605040277,-0.13356215794852272,-0.09756590785507342,-0.19971646167466905
Core (S08+S46+S30) | Equal-weight,5,underperf,0.0,0.0,0.0,1.0,1.0,0.4189
Core (S08+S46+S30) | Equal-weight,5,dd_30,0.0,0.0,0.0,0.0,1.0,0.1043
Core (S08+S46+S30) | Equal-weight,5,dd_40,0.0,0.0,0.0,0.0,0.0,0.0147
Core (S08+S46+S30) | Equal-weight,5,dd_50,0.0,0.0,0.0,0.0,0.0,0.0012
