portfolio,horizon_yr,metric,p05,p25,p50,p75,p95,mean
Core (S08+S46+S30) | Inverse-vol,25,cagr,0.042995421334928716,0.0655838385810123,0.08156107835926496,0.09733652929243342,0.11942154302802623,0.08134216643794996
Core (S08+S46+S30) | Inverse-vol,25,vol,0.11270942266096191,0.119686860952103,0.12541125067470793,0.13177825414454436,0.14188787959725463,0.12610455416677502
Core (S08+S46+S30) | Inverse-vol,25,sharpe,0.3793260791379976,0.5568392401379145,0.6870224653089445,0.8203505802872673,1.0113521807786845,0.6903854595677472
Core (S08+S46+S30) | Inverse-vol,25,mdd,-0.44566126795301303,-0.34678470902446046,-0.29379201065698063,-0.25477954993570184,-0.2019665060096092,-0.30647543142890643
Core (S08+S46+S30) | Inverse-vol,25,underperf,0.0,0.0,0.0,1.0,1.0,0.3453
Core (S08+S46+S30) | Inverse-vol,25,dd_30,0.0,0.0,0.0,1.0,1.0,0.4623
Core (S08+S46+S30) | Inverse-vol,25,dd_40,0.0,0.0,0.0,0.0,1.0,0.1097
Core (S08+S46+S30) | Inverse-vol,25,dd_50,0.0,0.0,0.0,0.0,0.0,0.0172
Core (S08+S46+S30) | Inverse-vol,5,cagr,-0.006961719192557912,0.047032817154217366,0.08324882297665481,0.11823164956130855,0.1690049735328025,0.08245630389163804
Core (S08+S46+S30) | Inverse-vol,5,vol,0.10160748960411557,0.11104383664142559,0.12006732733209823,0.13661241647714897,0.16113793539071644,0.12511261459041342
Core (S08+S46+S30) | Inverse-vol,5,sharpe,0.024444723921574443,0.4235672865759983,0.7166279379757738,1.0243501758926568,1.470125887364019,0.7277637560527883
Core (S08+S46+S30) | Inverse-vol,5,mdd,-0.33859940942052175,-0.24997541254256203,-0.18306609477157176,-0.13339622400935153,-0.09493370886800236,-0.1978972603474871
Core (S08+S46+S30) | Inverse-vol,5,underperf,0.0,0.0,0.0,1.0,1.0,0.429
Core (S08+S46+S30) | Inverse-vol,5,dd_30,0.0,0.0,0.0,0.0,1.0,0.0985
Core (S08+S46+S30) | Inverse-vol,5,dd_40,0.0,0.0,0.0,0.0,0.0,0.0151
Core (S08+S46+S30) | Inverse-vol,5,dd_50,0.0,0.0,0.0,0.0,0.0,0.0015
