portfolio,horizon_yr,metric,p05,p25,p50,p75,p95,mean
Full (all 7) | Cluster-parity,25,cagr,0.048941143261587786,0.07445603370784615,0.09164565183141005,0.10873539266141802,0.13403094524025352,0.09158908700713747
Full (all 7) | Cluster-parity,25,vol,0.11369202481000645,0.11920809188772669,0.12387108766562852,0.12916876194784388,0.13702035391724143,0.12443565693947153
Full (all 7) | Cluster-parity,25,sharpe,0.4354049879231068,0.6323043915584684,0.7678606644422137,0.9053898235300408,1.107573077020364,0.7702486201782826
Full (all 7) | Cluster-parity,25,mdd,-0.4277532563553792,-0.3395503540958669,-0.2882239941295103,-0.2512233680964519,-0.2012299063528218,-0.29915650103166824
Full (all 7) | Cluster-parity,25,underperf,0.0,0.0,0.0,0.0,1.0,0.1781
Full (all 7) | Cluster-parity,25,dd_30,0.0,0.0,0.0,1.0,1.0,0.434
Full (all 7) | Cluster-parity,25,dd_40,0.0,0.0,0.0,0.0,1.0,0.0877
Full (all 7) | Cluster-parity,25,dd_50,0.0,0.0,0.0,0.0,0.0,0.012
Full (all 7) | Cluster-parity,5,cagr,0.00024635339141234697,0.05522913226105447,0.09272270744648692,0.13159673885134132,0.1879999127629897,0.0933862405925448
Full (all 7) | Cluster-parity,5,vol,0.10530119554752637,0.11285989900145643,0.1193011156802188,0.1310467181671753,0.1533820806313588,0.12357884774982292
Full (all 7) | Cluster-parity,5,sharpe,0.0680533080364028,0.48881780704922523,0.7884604657039394,1.1059527484729823,1.5530271217669873,0.7991939200152799
Full (all 7) | Cluster-parity,5,mdd,-0.33067391268177143,-0.2491408271274321,-0.1822710009320026,-0.13694555881670778,-0.1012342484390891,-0.19610673297895165
Full (all 7) | Cluster-parity,5,underperf,0.0,0.0,0.0,1.0,1.0,0.3507
Full (all 7) | Cluster-parity,5,dd_30,0.0,0.0,0.0,0.0,1.0,0.0908
Full (all 7) | Cluster-parity,5,dd_40,0.0,0.0,0.0,0.0,0.0,0.0109
Full (all 7) | Cluster-parity,5,dd_50,0.0,0.0,0.0,0.0,0.0,0.0009
