portfolio,horizon_yr,metric,p05,p25,p50,p75,p95,mean
Full (all 7) | Equal-weight,25,cagr,0.04679543180387778,0.07006734244643814,0.08664718380555192,0.10278844406340482,0.12660788155938987,0.08665413778782195
Full (all 7) | Equal-weight,25,vol,0.11299782140735065,0.11903162350399041,0.12426947551995014,0.1300203540468051,0.13917469664827795,0.124910014623887
Full (all 7) | Equal-weight,25,sharpe,0.4168821513317279,0.5967631134094643,0.7302792712950795,0.8658135484435333,1.062019474836765,0.7331641459244876
Full (all 7) | Equal-weight,25,mdd,-0.4223352367943311,-0.33269345033923997,-0.28480702160513754,-0.25395080856382674,-0.19324235684026775,-0.29512079917961576
Full (all 7) | Equal-weight,25,underperf,0.0,0.0,0.0,0.0,1.0,0.2282
Full (all 7) | Equal-weight,25,dd_30,0.0,0.0,0.0,1.0,1.0,0.4063
Full (all 7) | Equal-weight,25,dd_40,0.0,0.0,0.0,0.0,1.0,0.0769
Full (all 7) | Equal-weight,25,dd_50,0.0,0.0,0.0,0.0,0.0,0.0093
Full (all 7) | Equal-weight,5,cagr,-0.0017357085287828765,0.05083757981639497,0.08754542886969918,0.12399823206938015,0.17708699088825924,0.0873746653727317
Full (all 7) | Equal-weight,5,vol,0.10419981345216293,0.11184327006865266,0.11941915335804429,0.13324689086045488,0.1569519033218854,0.12423333043709178
Full (all 7) | Equal-weight,5,sharpe,0.05789707090479158,0.45319198614351575,0.7422765295216742,1.0547616574388134,1.4860652992631356,0.7577071273849804
Full (all 7) | Equal-weight,5,mdd,-0.3279404635125052,-0.24582543406051274,-0.1770540010092193,-0.13102288177104965,-0.09891892465490787,-0.19217293827541151
Full (all 7) | Equal-weight,5,underperf,0.0,0.0,0.0,1.0,1.0,0.3765
Full (all 7) | Equal-weight,5,dd_30,0.0,0.0,0.0,0.0,1.0,0.0822
Full (all 7) | Equal-weight,5,dd_40,0.0,0.0,0.0,0.0,0.0,0.01
Full (all 7) | Equal-weight,5,dd_50,0.0,0.0,0.0,0.0,0.0,0.001
